Rndrng_NPI,Tot_Benes,Avg_Mdcr_Stdzd_Amt,Tot_Mdcr_Stdzd_Amt,Labels
1013931716,2049,9312.4915520357,19081295.19,1
1013932854,1381,1312.8272423882001,1813014.42,3
1013933290,144,402.32167665500003,57934.32,0
1013934058,577,764.0243733259999,440842.06,0
1013935477,960,2149.689809415,2063702.22,3
1013935667,545,840.856327508,458266.7,0
1013936079,4685,1793.2549056193,8401399.23,4
1013936871,499,503.27746549500006,251135.46,0
1013937481,484,582.8376739345,282093.43,0
1013938752,27,88.414375,2387.19,0
1013939206,549,4640.0592240507,2547392.51,1
1013940501,967,909.9999177831,879969.92,0
1013947126,1220,4930.835528593199,6015619.34,1
1013947456,270,979.779332242,264540.42,0
1013947589,1664,1807.654472309,3007937.04,3
1013954205,483,357.144516254,172500.8,0
1013954643,2845,5849.699545326801,16642395.21,1
1013955095,3337,2895.532629682,9662392.39,4
1013956622,221,514.2473257620001,113648.66,0
1013957190,610,733.8268532421001,447634.38,0
1013960384,412,767.2414145019999,316103.46,0
1013960988,568,672.099511825,381752.52,0
1013965359,7528,11321.070531131207,85225018.96,2
1013966464,384,1298.2915651219998,498543.96,0
1013970714,95,560.7624117299999,53272.43,0
1013972009,480,386.96061315000003,185741.09,0
1013975903,3512,5830.9936635282,20478449.75,1
1013976299,1064,1312.7518755014,1396768.0,3
1013976570,718,481.309165515,345579.98,0
1013977420,652,4731.1990850263,3084741.8,1
1013977487,148,992.488855564,146888.35,0
1013979467,153,296.927118226,45429.85,0
1013979566,3758,1988.5530529700993,7472982.37,4
1013980853,384,552.009326024,211971.58,0
1013980903,3551,4539.519965307999,16119835.4,4
1013981257,461,436.7460083016,201339.91,0
1013981349,112,346.958778192,38859.38,0
1013985381,452,1039.3770826159998,469798.44,0
1013987924,9807,2058.156175385999,20184337.61,2
1013988021,383,790.7592380230001,302860.79,0
1013988047,248,276.954253745,68684.65,0
1013988583,955,568.120586322,542555.16,0
1013989037,1531,5048.610423873399,7729422.56,1
1013989615,161,261.593182728,42116.5,0
1013991082,943,1080.7377041382,1019135.66,0
1013991504,296,538.051809852,159263.34,0
1013991678,1631,4754.8509606517,7755161.92,1
1013991736,220,578.1243929819999,127187.37,0
1013991926,167,190.65050926,31838.64,0
1013992635,5747,3119.7220522007988,17929042.63,4
1013994086,538,868.05390403,467013.0,0
1013995992,751,816.4359192759999,613143.38,0
1013996404,1678,2766.6221695400004,4642392.0,3
1013997345,68,145.51999999999998,9895.36,0
1013998970,1195,826.363806506,987504.75,0
1023001823,71,380.59000000000003,27021.89,0
1023003456,2558,8569.591925613198,21921016.15,1
1023005691,4149,3416.262504951799,14174073.13,4
1023006947,169,465.159757164,78612.0,0
1023007739,1493,3101.9075949000003,4631148.04,3
1023008372,286,504.997447249,144429.27,0
1023008398,685,950.966693576,651412.19,0
1023009438,647,2352.7413507270003,1522223.65,3
1023011384,653,4187.8024463741,2734635.0,3
1023011624,272,961.583019768,261550.58,0
1023013117,2284,7113.045427190999,16246195.76,1
1023013497,5377,6687.396497436198,35958130.97,1
1023014164,1860,794.8383119995,1478399.26,3
1023014230,87,265.60766386399996,23107.87,0
1023014461,2430,5395.642828360402,13111412.07,1
1023015674,1512,1062.0680025826998,1605846.82,3
1023016573,1509,7093.453128571401,10704020.77,1
1023016631,1743,800.0507530773999,1394488.46,3
1023017191,661,1566.3884745879998,1035382.78,3
1023017829,899,2739.8959114249997,2463166.42,3
1023018728,7034,5663.757488065799,39838870.17,2
1023019064,630,434.690541994,273855.04,0
1023022118,990,1094.9793948650001,1084029.6,0
1023022365,60,132.4203699422,7945.22,0
1023022985,741,501.708648372,371766.11,0
1023024189,306,1052.5398917460002,322077.21,0
1023025285,48,552.211704706,26506.16,0
1023025434,7425,2276.4908639911996,16902944.67,4
1023026267,272,457.72457497,124501.08,0
1023027596,1093,1235.1982756529999,1350071.72,3
1023030368,133,122.18856203,16251.08,0
1023032638,936,1964.1369540991,1838432.19,3
1023032752,88,490.838969234,43193.83,0
1023034022,1464,1274.3009191521996,1865576.55,3
1023034261,1015,4761.318253266901,4832738.03,1
1023034337,2371,6208.652119178398,14720714.17,1
1023036704,347,268.654663116,93223.17,0
1023038494,3047,910.8038032385998,2775219.19,3
1023039948,510,1112.3174210910001,567281.88,0
1023040094,275,670.85413521,184484.89,0
